cve_id,product
CVE-2025-0001,Abacus
CVE-2025-0003,Xilinx Run Time (XRT)
CVE-2025-0005,Xilinx Run Time (XRT)
CVE-2025-0007,Xilinx Run Time (XRT)
CVE-2025-0009,AMD Athlon™ 3000 Series Desktop Processors with Radeon™ Graphics
CVE-2025-0009,AMD Athlon™ 3000 Series Mobile Processors with Radeon™ Graphics
CVE-2025-0009,AMD Radeon™ PRO V520 Graphics Products
CVE-2025-0009,AMD Radeon™ PRO V620 Graphics Products
CVE-2025-0009,AMD Radeon™ PRO V710 Graphics Products
CVE-2025-0009,AMD Radeon™ PRO W5000 Series Graphics Products
CVE-2025-0009,AMD Radeon™ PRO W6000 Series Graphics Products
CVE-2025-0009,AMD Radeon™ PRO W7000 Series Graphics Products
CVE-2025-0009,AMD Radeon™ RX 5000 Series Graphics Products
CVE-2025-0009,AMD Radeon™ RX 6000 Series Graphics Products
CVE-2025-0009,AMD Radeon™ RX 7000 Series Graphics Products
CVE-2025-0009,AMD Ryzen™ 3000 Series Mobile Processors with Radeon™ Graphics
CVE-2025-0009,AMD Ryzen™ 4000 Series Desktop Processor with Radeon™ Graphics
CVE-2025-0009,AMD Ryzen™ 4000 Series Desktop Processors
CVE-2025-0009,AMD Ryzen™ 5000 Series Desktop Processors with Radeon™ Graphics
CVE-2025-0009,AMD Ryzen™ 5000 Series Processors with Radeon™ Graphics
CVE-2025-0009,AMD Ryzen™ 6000 Series Processor with Radeon™ Graphics
CVE-2025-0009,AMD Ryzen™ 7000 Series Desktop Processors
CVE-2025-0009,AMD Ryzen™ 7000 Series Mobile Processors
CVE-2025-0009,AMD Ryzen™ 7000 Series Processors with Radeon™ Graphics
CVE-2025-0009,AMD Ryzen™ 7020 Series Processors with Radeon™ Graphics
CVE-2025-0009,AMD Ryzen™ 7035 Series Processor with Radeon™ Graphics
CVE-2025-0009,AMD Ryzen™ 7040 Series Processors with Radeon™ Graphics
CVE-2025-0009,AMD Ryzen™ 8000 Series Processor with Radeon™ Graphics
CVE-2025-0009,AMD Ryzen™ 8040 Series Mobile Processors with Radeon™ Graphics
CVE-2025-0009,AMD Ryzen™ 9000 Series Desktop Processors
CVE-2025-0009,AMD Ryzen™ Embedded 7000 Series Processors
CVE-2025-0009,AMD Ryzen™ Embedded 8000 Series Processors
CVE-2025-0010,AMD Athlon™ 3000 Series Desktop Processors with Radeon™ Graphics
CVE-2025-0010,AMD Athlon™ 3000 Series Mobile Processors with Radeon™ Graphics
CVE-2025-0010,AMD Instinct™ MI200
CVE-2025-0010,AMD Instinct™ MI210
CVE-2025-0010,AMD Instinct™ MI250
CVE-2025-0010,AMD Instinct™ MI300A
CVE-2025-0010,AMD Instinct™ MI300X
CVE-2025-0010,AMD Radeon™ PRO V520 Graphics Products
CVE-2025-0010,AMD Radeon™ PRO V620 Graphics Products
CVE-2025-0010,AMD Radeon™ PRO V710 Graphics Products
CVE-2025-0010,AMD Radeon™ PRO W5000 Series Graphics Products
CVE-2025-0010,AMD Radeon™ PRO W6000 Series Graphics Products
CVE-2025-0010,AMD Radeon™ PRO W7000 Series Graphics Products
CVE-2025-0010,AMD Radeon™ RX 5000 Series Graphics Products
CVE-2025-0010,AMD Radeon™ RX 6000 Series Graphics Products
CVE-2025-0010,AMD Radeon™ RX 7000 Series Graphics Products
CVE-2025-0010,AMD Radeon™ RX Vega Series Graphics Cards
CVE-2025-0010,AMD Radeon™ VII
CVE-2025-0010,AMD Ryzen™ 3000 Series Mobile Processors with Radeon™ Graphics
CVE-2025-0010,AMD Ryzen™ 4000 Series Desktop Processors
CVE-2025-0010,AMD Ryzen™ 4000 Series Mobile Processors with Radeon™ Graphics
CVE-2025-0010,AMD Ryzen™ 5000 Series Desktop Processors
CVE-2025-0010,AMD Ryzen™ 5000 Series Desktop Processors with Radeon™ Graphics
CVE-2025-0010,AMD Ryzen™ 5000 Series Mobile Processors with Radeon™ Graphics
CVE-2025-0010,AMD Ryzen™ 6000 Series Processors with Radeon™ Graphics
CVE-2025-0010,AMD Ryzen™ 7000 Series Desktop Processors
CVE-2025-0010,AMD Ryzen™ 7020 Series Processors with Radeon™ Graphics
CVE-2025-0010,AMD Ryzen™ 7030 Series Mobile Processors with Radeon™ Graphics
CVE-2025-0010,AMD Ryzen™ 7035 Series Processors with Radeon™ Graphics
CVE-2025-0010,AMD Ryzen™ 7040 Series Mobile Processors with Radeon™ Graphics
CVE-2025-0010,AMD Ryzen™ 7045 Series Mobile Processors with Radeon™ Graphics
CVE-2025-0010,AMD Ryzen™ 8000 Series Desktop Processors
CVE-2025-0010,AMD Ryzen™ 8040 Series Mobile Processors with Radeon™ Graphics
CVE-2025-0010,AMD Ryzen™ 9000 Series Desktop Processors
CVE-2025-0010,AMD Ryzen™ AI 300 Series Processors
CVE-2025-0011,AMD Radeon™ PRO V520 Graphics Products
CVE-2025-0011,AMD Radeon™ PRO V620 Graphics Products
CVE-2025-0011,AMD Radeon™ PRO V710 Graphics Products
CVE-2025-0011,AMD Radeon™ PRO W5000 Series Graphics Products
CVE-2025-0011,AMD Radeon™ PRO W6000 Series Graphics Products
CVE-2025-0011,AMD Radeon™ PRO W7000 Series Graphics Products
CVE-2025-0011,AMD Radeon™ RX 5000 Series Graphics Products
CVE-2025-0011,AMD Radeon™ RX 6000 Series Graphics Products
CVE-2025-0011,AMD Radeon™ RX 7000 Series Graphics Products
CVE-2025-0011,AMD Ryzen™ 6000 Series Processor with Radeon™ Graphics
CVE-2025-0011,AMD Ryzen™ 7000 Series Mobile Processors
CVE-2025-0011,AMD Ryzen™ 7020 Series Processors with Radeon™ Graphics
CVE-2025-0011,AMD Ryzen™ 7035 Series Processor with Radeon™ Graphics
CVE-2025-0011,AMD Ryzen™ 7040 Series Mobile Processors with Radeon™ Graphics
CVE-2025-0011,AMD Ryzen™ 8000 Series Desktop Processors
