cve_id,replaced_by
CVE-2025-2778,CVE-2024-36394
CVE-2025-3261,CVE-2025-34281
CVE-2025-4920,CVE-2025-4918
CVE-2025-4921,CVE-2025-4919
CVE-2025-11854,CVE-2025-22381
CVE-2025-23090,CVE-2025-23083
CVE-2025-23122,CVE-2025-23165
CVE-2025-34083,CVE-2020-36849
CVE-2025-34084,CVE-2020-36848
CVE-2025-34085,CVE-2020-36847
CVE-2025-34138,CVE-2025-53692
CVE-2025-34138,CVE-2025-53694
CVE-2025-34249,CVE-2025-60425
CVE-2025-34252,CVE-2017-20203
CVE-2025-34269,CVE-2025-60424
CVE-2025-34351,CVE-2023-48022
CVE-2025-48870,CVE-2024-47057
CVE-2025-48871,CVE-2024-47056
CVE-2025-48872,CVE-2024-47055
CVE-2025-48873,CVE-2025-5256
CVE-2025-48874,CVE-2025-5257
CVE-2025-48876,CVE-2025-9824
CVE-2025-54371,CVE-2025-7783
CVE-2025-54420,CVE-2025-8129
CVE-2025-54432,CVE-2021-46708
CVE-2025-54797,CVE-2025-52464
CVE-2025-55153,CVE-2025-1948
CVE-2025-58164,CVE-2025-58163
CVE-2025-58165,CVE-2025-58163
CVE-2025-58166,CVE-2025-58163
CVE-2025-58167,CVE-2025-58163
CVE-2025-58168,CVE-2025-58163
CVE-2025-58169,CVE-2025-58163
CVE-2025-58170,CVE-2025-58163
CVE-2025-58171,CVE-2025-58163
CVE-2025-66478,CVE-2025-55182
CVE-2025-67503,CVE-2025-67496
